# Splits,# Merges,% Split Edges,% Omit Edges,% Merged Edges,ERL,Normalized ERL,Edge Accuracy,Split Rate,Merge Rate
0.0,,0.0,0.0,0.0,84.08,1.0,100.0,,
0.0,,0.0,0.0,0.0,163.37,1.0,100.0,,
1.0,,0.9803921568627451,0.9803921568627451,0.0,40.27,0.1873,98.04,62.82,
1.0,,0.8264462809917356,5.785123966942149,0.0,146.36,0.5744,93.39,224.52,
3.0,,2.830188679245283,0.0,0.0,45.66,0.1984,97.17,51.2,
1.0,,1.9230769230769231,1.9230769230769231,0.0,30.3,0.286,96.15,51.19,
0.0,,0.0,0.0,0.0,106.57,1.0,100.0,,
5.0,,1.3651877133105803,2.3890784982935154,0.0,293.17,0.4627,96.25,103.53,
14.0,,1.3123359580052494,0.7874015748031497,0.0,217.71,0.1407,97.9,92.8,
2.0,,0.9009009009009009,4.504504504504505,0.0,116.9,0.5144,94.59,105.19,
0.0,,0.0,0.0,0.0,80.18,1.0,100.0,,
